Date,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of
26-Dec-14,2486,2510,2465,2509.35,2505,2488.46,"3,13,103",7791.43,18772
29-Dec-14,2508,2536.95,2507,2521.4,2522.9,2522.46,"3,89,460",9823.96,27095
30-Dec-14,2525,2542.45,2516,2530,2530.05,2530.17,"3,50,671",8872.56,29747
31-Dec-14,2532.7,2566.4,2525,2564,2558.25,2545.03,"7,86,896",20026.76,38762
1-Jan-15,2567,2567,2541,2550,2545.55,2548.51,"1,83,415",4674.34,8002
2-Jan-15,2551,2590.95,2550.6,2588.4,2579.45,2568.19,"4,62,870",11887.4,27585
5-Jan-15,2581,2599.9,2524.65,2538.1,2540.25,2563.94,"8,77,121",22488.86,43234
6-Jan-15,2529.1,2529.1,2440,2450.05,2446.6,2466.9,"12,11,892",29896.15,84503
7-Jan-15,2470,2479.15,2407.45,2426.9,2417.7,2433.96,"13,18,166",32083.62,"1,01,741"
8-Jan-15,2442.4,2449,2420.55,2446,2443.8,2434.81,"7,82,704",19057.39,47699
9-Jan-15,2455,2519.9,2450,2510,2512.3,2490.01,"15,98,821",39810.82,81743
12-Jan-15,2517,2528,2480.25,2527.95,2509.7,2497.82,"7,98,003",19932.66,58810
13-Jan-15,2520,2530.4,2480.1,2498,2497.9,2509.4,"7,34,216",18424.4,49993
14-Jan-15,2516,2531.8,2500.5,2525.05,2521.95,2517.54,"8,93,548",22495.46,69237
15-Jan-15,2533,2581.75,2523.25,2542.05,2539.1,2550.97,"25,04,960",63900.76,96363
16-Jan-15,2543.7,2545,2484.3,2526,2532.15,2511.39,"26,46,915",66474.44,"1,27,847"
19-Jan-15,2536,2551,2503,2509,2511,2516.06,"5,67,537",14279.54,38860
20-Jan-15,2520,2530,2483.25,2498,2500.45,2498.94,"10,29,283",25721.21,58066
21-Jan-15,2522,2522,2488.25,2518,2513.8,2507.75,"11,55,240",28970.55,75976
22-Jan-15,2516.5,2521.25,2495.5,2511,2513.55,2509.31,"10,56,607",26513.55,74837
23-Jan-15,2514,2532.05,2496.1,2504.1,2503.6,2507.34,"15,75,190",39495.3,94619
27-Jan-15,2512.35,2515,2489.55,2504.2,2502.05,2502.26,"13,69,368",34265.1,71406
28-Jan-15,2503,2544.9,2502.9,2533.4,2539.6,2529.32,"15,60,990",39482.4,"1,01,994"
29-Jan-15,2538,2568.7,2512.9,2560.7,2544.65,2531.88,"18,67,196",47275.2,67497
30-Jan-15,2560.7,2575,2470,2484,2482.05,2494.94,"29,08,701",72570.25,"1,19,200"
2-Feb-15,2482,2521.45,2462.05,2516,2514.2,2500.6,"15,90,901",39782.11,89485
3-Feb-15,2511.65,2565,2507.1,2552.25,2558.25,2536.23,"11,72,527",29737.93,75106
4-Feb-15,2568,2571.7,2502.1,2514.95,2514.3,2523.08,"11,22,709",28326.87,60615
5-Feb-15,2520,2591.7,2519,2553,2552.4,2558.13,"22,65,084",57943.86,77935
6-Feb-15,2553,2594.8,2550.85,2576.1,2575.75,2578.4,"10,68,208",27542.65,82449
9-Feb-15,2561.5,2569.1,2500,2512,2512.9,2531.83,"10,38,216",26285.85,72967
10-Feb-15,2510,2526.25,2433,2445.5,2441.15,2473.88,"18,99,527",46992.01,"1,14,773"
11-Feb-15,2455.05,2487.25,2447.25,2460,2459.9,2468.94,"14,68,761",36262.83,"1,15,345"
12-Feb-15,2479.8,2479.8,2447,2469,2462.15,2462.56,"15,53,990",38267.87,"1,13,845"
13-Feb-15,2470,2547.75,2460.25,2540,2538.75,2508.49,"20,79,163",52155.63,"1,32,132"
16-Feb-15,2560,2595,2555,2581.7,2584.8,2576.98,"11,82,196",30464.92,82111
18-Feb-15,2585.05,2643,2565.25,2640,2635.65,2605.04,"13,30,007",34647.16,70475
19-Feb-15,2636,2687.3,2635,2674.55,2681.05,2660.47,"13,09,001",34825.64,80730
20-Feb-15,2698.8,2698.8,2642.25,2664.65,2675.55,2672.56,"9,00,794",24074.23,43830
23-Feb-15,2671,2722,2671,2700,2696.65,2701.93,"8,07,446",21816.6,47641
24-Feb-15,2694,2730,2679,2699.35,2704.75,2709.36,"10,99,961",29801.86,46480
25-Feb-15,2710,2722,2667.85,2669.7,2672.2,2694.16,"8,83,997",23816.3,43048
26-Feb-15,2679,2692.75,2625.35,2649.5,2656.45,2655.31,"9,95,997",26446.8,56829
27-Feb-15,2659.45,2675.75,2616.3,2668,2662.35,2647.84,"14,38,688",38094.21,74413
28-Feb-15,2677,2687.1,2643,2679.55,2675.25,2668.12,"5,89,498",15728.49,30189
2-Mar-15,2679.7,2708.95,2652.55,2673.95,2669.4,2664.97,"10,88,019",28995.36,64343
3-Mar-15,2682,2790,2676.15,2785.1,2776,2748.34,"17,12,154",47055.77,74770
4-Mar-15,2788,2812.1,2715.65,2740,2746,2763.04,"19,31,497",53368.06,71983
5-Mar-15,2750,2770.7,2681.05,2690.1,2696.45,2713.59,"10,86,757",29490.13,45126
9-Mar-15,2640,2679.8,2610,2649,2646.8,2647.72,"14,41,587",38169.22,64488
10-Mar-15,2648.9,2678.25,2595.25,2638.85,2642.7,2632.78,"15,18,526",39979.41,89030
11-Mar-15,2642,2659.95,2597.8,2605.15,2606.55,2622.9,"11,20,100",29379.09,52147
12-Mar-15,2623.9,2624.9,2590.1,2618.2,2619.05,2606.76,"9,13,818",23821,62767
13-Mar-15,2638,2639.95,2575,2585,2582.35,2594.75,"7,93,419",20587.21,67541
16-Mar-15,2585.2,2610,2552,2560.6,2562.3,2579.88,"7,78,148",20075.32,44209
17-Mar-15,2582.5,2606.7,2557.75,2583.65,2583.7,2582.66,"6,33,659",16365.27,56639
18-Mar-15,2590.95,2599.45,2551.7,2556,2559.35,2561.86,"6,27,585",16077.85,38991
