Date,Open,High,Low,Close,Volume,Adj Close
2016-12-23,2300.00,2317.75,2278.80,2288.10,559400,2288.10
2016-12-22,2306.00,2325.00,2286.20,2307.70,934100,2307.70
2016-12-21,2343.80,2343.80,2305.60,2313.60,1017400,2313.60
2016-12-20,2292.00,2345.00,2287.05,2339.30,1461300,2339.30
2016-12-19,2280.00,2297.70,2261.30,2288.90,667100,2288.90
2016-12-16,2277.00,2290.00,2252.00,2282.65,993600,2282.65
2016-12-15,2202.00,2272.10,2202.00,2259.30,2147700,2259.30
2016-12-14,2214.00,2224.70,2189.00,2207.60,935100,2207.60
2016-12-13,2218.00,2218.00,2183.00,2200.30,1073700,2200.30
2016-12-12,2194.80,2217.60,2163.00,2208.20,655800,2208.20
2016-12-09,2205.00,2219.90,2173.30,2195.25,794300,2195.25
2016-12-08,2160.50,2199.00,2160.00,2195.75,1619700,2195.75
2016-12-07,2182.20,2184.45,2145.65,2154.55,1032800,2154.55
2016-12-06,2190.00,2203.95,2169.90,2182.35,796700,2182.35
2016-12-05,2229.00,2237.85,2170.00,2186.00,1124700,2186.00
2016-12-02,2258.00,2270.80,2205.20,2221.85,999000,2221.85
2016-12-01,2277.00,2290.00,2254.05,2263.45,561500,2263.45
2016-11-30,2265.00,2294.75,2242.30,2276.05,1722900,2276.05
2016-11-29,2275.00,2292.00,2252.55,2259.85,721100,2259.85
2016-11-28,2294.00,2319.45,2251.90,2282.60,962100,2282.60
2016-11-25,2212.00,2307.25,2192.20,2300.35,2138000,2300.35
2016-11-24,2154.90,2207.60,2137.00,2188.45,1513100,2188.45
2016-11-23,2149.00,2162.95,2127.20,2156.35,637900,2156.35
2016-11-22,2132.00,2177.45,2122.05,2135.00,659400,2135.00
2016-11-21,2126.20,2140.00,2105.00,2132.90,896600,2132.90
2016-11-18,2142.00,2150.00,2104.20,2125.10,1070200,2125.10
2016-11-17,2185.00,2208.60,2130.15,2137.20,1252300,2137.20
2016-11-16,2145.10,2208.90,2138.00,2189.60,2009900,2189.60
2016-11-15,2116.90,2157.55,2051.90,2121.30,3145100,2121.30
2016-11-14,2101.15,2101.15,2101.15,2101.15,000,2101.15
2016-11-11,2147.05,2147.05,2086.20,2101.15,1199200,2101.15
2016-11-10,2204.80,2217.50,2140.80,2155.45,1086200,2155.45
2016-11-09,2180.00,2275.00,2142.85,2169.85,2250100,2169.85
2016-11-08,2280.45,2307.00,2260.00,2283.20,966800,2283.20
2016-11-07,2337.90,2344.90,2260.05,2277.05,1024000,2277.05
2016-11-04,2320.00,2336.15,2294.00,2330.55,591800,2330.55
2016-11-03,2294.00,2335.00,2284.50,2319.45,731600,2319.45
2016-11-02,2341.00,2344.00,2295.00,2304.05,1162500,2304.05
2016-11-01,2399.70,2399.70,2334.15,2350.00,1467300,2350.00
2016-10-31,2398.70,2398.70,2398.70,2398.70,000,2398.70
2016-10-28,2410.00,2415.10,2388.00,2398.70,876000,2398.70
2016-10-27,2379.70,2429.50,2365.50,2418.10,1470800,2418.10
2016-10-26,2398.60,2402.75,2372.50,2396.25,718500,2396.25
2016-10-25,2405.00,2414.60,2381.00,2398.45,886200,2398.45
2016-10-24,2428.20,2434.90,2402.55,2427.70,626500,2427.70
2016-10-21,2400.00,2431.90,2398.25,2428.65,629800,2422.15
2016-10-20,2396.90,2409.35,2386.00,2401.15,632900,2394.724
2016-10-19,2401.00,2410.00,2370.30,2395.10,992500,2388.69
2016-10-18,2376.00,2415.70,2354.80,2400.20,1064300,2393.776
2016-10-17,2368.90,2375.80,2344.40,2362.45,1364100,2356.127
2016-10-14,2315.00,2387.00,2291.00,2366.20,3870600,2359.867
2016-10-13,2363.30,2369.90,2320.90,2328.90,2586600,2322.667
