Date,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of
21-Dec-16,2343.8,2343.8,2305.6,2312,2313.6,2318.5,"10,17,451",23589.59,85491
20-Dec-16,2292,2345,2287.05,2340,2339.3,2322.69,"14,61,380",33943.34,49014
19-Dec-16,2280,2297.7,2261.3,2285,2288.9,2274.6,"6,67,105",15174,44317
16-Dec-16,2277,2290,2252,2284.8,2282.65,2275.76,"9,93,615",22612.3,55542
15-Dec-16,2202,2272.1,2202,2256.5,2259.3,2257.49,"21,47,705",48484.14,74707
14-Dec-16,2214,2224.7,2189,2208.8,2207.6,2207.22,"9,35,183",20641.59,46920
13-Dec-16,2218,2218,2183,2210.75,2200.3,2199.64,"10,73,767",23619.01,58059
12-Dec-16,2194.8,2217.6,2163,2210,2208.2,2198.33,"6,55,879",14418.38,43775
9-Dec-16,2205,2219.9,2173.3,2193.6,2195.25,2199.22,"7,94,359",17469.69,53949
8-Dec-16,2160.5,2199,2160,2195,2195.75,2185.77,"16,19,773",35404.55,74988
7-Dec-16,2182.2,2184.45,2145.65,2157.9,2154.55,2164.31,"10,32,853",22354.17,63105
6-Dec-16,2190,2203.95,2169.9,2170.85,2182.35,2189.54,"7,96,722",17444.52,50293
5-Dec-16,2229,2237.85,2170,2188.5,2186,2189.99,"11,24,763",24632.16,65000
2-Dec-16,2258,2270.8,2205.2,2229,2221.85,2233.56,"9,99,016",22313.66,70395
1-Dec-16,2277,2290,2254.05,2267,2263.45,2270.78,"5,61,526",12751.01,48664
30-Nov-16,2265,2294.75,2242.3,2275,2276.05,2272.16,"17,22,916",39147.48,88801
29-Nov-16,2275,2292,2252.55,2263,2259.85,2271.38,"7,21,148",16380.02,60419
28-Nov-16,2294,2319.45,2251.9,2275.05,2282.6,2283.57,"9,62,148",21971.33,69327
25-Nov-16,2212,2307.25,2192.2,2299.8,2300.35,2272.25,"21,38,074",48582.38,"1,25,651"
24-Nov-16,2154.9,2207.6,2137,2205,2188.45,2185.41,"15,13,117",33067.74,47769
23-Nov-16,2149,2162.95,2127.2,2158.5,2156.35,2150.81,"6,37,904",13720.13,40612
22-Nov-16,2132,2177.45,2122.05,2142,2135,2147.59,"6,59,430",14161.84,38866
21-Nov-16,2126.2,2140,2105,2130,2132.9,2128.57,"8,96,683",19086.55,63995
18-Nov-16,2142,2150,2104.2,2126.2,2125.1,2123.04,"10,70,267",22722.15,71737
17-Nov-16,2185,2208.6,2130.15,2134.05,2137.2,2163.54,"12,52,344",27094.91,74605
16-Nov-16,2145.1,2208.9,2138,2187.65,2189.6,2189.51,"20,09,979",44008.63,"1,43,193"
15-Nov-16,2116.9,2157.55,2051.9,2138.35,2121.3,2116.99,"31,45,162",66582.68,"1,43,796"
11-Nov-16,2147.05,2147.05,2086.2,2120,2101.15,2110.24,"11,99,212",25306.23,71253
10-Nov-16,2204.8,2217.5,2140.8,2147.05,2155.45,2186.26,"10,86,213",23747.45,55736
9-Nov-16,2180,2275,2142.85,2185.8,2169.85,2188.73,"22,50,113",49248.85,74439
8-Nov-16,2280.45,2307,2260,2289.6,2283.2,2281.56,"9,66,817",22058.48,39458
7-Nov-16,2337.9,2344.9,2260.05,2266,2277.05,2296.42,"10,24,026",23515.96,40066
4-Nov-16,2320,2336.15,2294,2330,2330.55,2313.13,"5,91,876",13690.87,34571
3-Nov-16,2294,2335,2284.5,2320,2319.45,2315.15,"7,31,655",16938.92,48066
2-Nov-16,2341,2344,2295,2298.75,2304.05,2315.05,"11,62,538",26913.31,42121
1-Nov-16,2399.7,2399.7,2334.15,2359.05,2350,2371.67,"14,67,388",34801.53,70133
